subDistrict,name,postal_code
Umbunasi,Lawindra,22873
Umbunasi,Hiliuso,22873
Umbunasi,Balohili Mola,22873
Umbunasi,Ambukha,22873
Umbunasi,Tobualo,22873
Umbunasi,Hilibadalu,22873
Umbunasi,Foikhugaga,22873
Umbunasi,Orlin,22873
Umbunasi,Orahili Mola,22873
Umbunasi,Umbunasi,22873
Aramo,Hilitotao,22866
Aramo,Hiliorudua,22866
Aramo,Sisobambowo,22866
Aramo,Hiliamauzula,22866
Aramo,Aramo,22866
Aramo,Sikhorilafau,22866
Aramo,Hilifadolo,22866
Aramo,Hume,22866
Aramo,Dao-dao,22866
Aramo,Hilimagiao,22866
Aramo,Hilisawato,22866
Aramo,Balohao,22866
Aramo,Hiligafoa,22866
Aramo,Hilimbowo,22866
Aramo,Hilimezaya,22866
Aramo,Hiliadolowa,22866
Aramo,Hiligumbu,22866
Aramo,Bagoa,22866
Pulau-Pulau Batu Timur,Labuhan Hiu,22884
Pulau-Pulau Batu Timur,Labuhan Bazau,22884
Pulau-Pulau Batu Timur,Labuan Rima,22884
Pulau-Pulau Batu Timur,Lambak,22884
Pulau-Pulau Batu Timur,Bais,22884
Pulau-Pulau Batu Timur,Mahang Labara,22884
Pulau-Pulau Batu Timur,Adam,22884
Pulau-Pulau Batu Timur,Labara,22884
Pulau-Pulau Batu Timur,Bais Baru,22884
Pulau-Pulau Batu Timur,Labuan Rima Baru,22884
Mazo,Hilimbaruzo,22873
Mazo,Luahandroito,22873
Mazo,Orahuahili,22873
Mazo,Ulu Mazo,22873
Mazo,Guigui,22873
Mazo,Hilimaufa,22873
Mazo,Siofabanua,22873
Mazo,Tafulu,22873
Fanayama,Bawomataluo,22865
Fanayama,Orahili Fau,22865
Fanayama,Bawonahono,22865
Fanayama,Siwalawa,22865
Fanayama,Onohondro,22865
Fanayama,Hilinawalo Fau,22865
Fanayama,Lahusa Fau,22865
Fanayama,Hilizihono,22865
Fanayama,Hiliofonaluo,22865
Fanayama,Bawofanayama,22865
Fanayama,Hilikara Maha,22865
Fanayama,Hilisalawa,22865
Fanayama,Hiligito,22865
Fanayama,Siliwulawa,22865
Fanayama,Hilifarokha Lawa,22865
Fanayama,Eho Orahili,22865
Fanayama,Ete Batu,22865
Ulunoyo,Sambulu,22867
Ulunoyo,Orahili Ulunoyo,22867
Ulunoyo,Hiliwaebu,22867
