subDistrict,name,postal_code
Pabuaran,Siluman,41262
Pabuaran,Pringkasap,41262
Pabuaran,Pabuaran,41262
Pabuaran,Karanghegar,41262
Pabuaran,Salamjaya,41262
Pabuaran,Kadawung,41262
Pabuaran,Balebandung Jaya,41262
Purwadadi,Wanakerta,41261
Purwadadi,Pagon,41261
Purwadadi,Prapatan,41261
Purwadadi,Purwadadi,41261
Purwadadi,Belendung,41261
Purwadadi,Koranji,41261
Purwadadi,Panyingkiran,41261
Purwadadi,Pasirbungur,41261
Purwadadi,Purwadadi Barat,41261
Purwadadi,Rancamahi,41261
Pagaden,Gunungsembung,41251
Pagaden,Gembor,41251
Pagaden,Kamarung,41251
Pagaden,Gambarsari,41251
Pagaden,Pagaden,41251
Pagaden,Sukamulya,41251
Pagaden,Neglasari,41251
Pagaden,Sumbersari,41251
Pagaden,Gunungsari,41251
Pagaden,Jabong,41251
Binong,Cicadas,41253
Binong,Kihiyang,41253
Binong,Binong,41253
Binong,Kediri,41253
Binong,Citrajaya,41253
Binong,Mulyasari,41253
Binong,Karangsari,41253
Binong,Karangwangi,41253
Binong,Nanggerang,41253
Ciasem,Ciasem Girang,41256
Ciasem,Ciasem Tengah,41256
Ciasem,Dukuh,41256
Ciasem,Ciasem Hilir,41256
Ciasem,Sukahaji,41256
Ciasem,Sukamandijaya,41256
Ciasem,Ciasem Baru,41256
Ciasem,Pinangsari,41256
Ciasem,Jatibaru,41256
Pusakanagara,Pusakaratu,41265
Pusakanagara,Gempol,41265
Pusakanagara,Kalentambo,41265
Pusakanagara,Patimban,41265
Pusakanagara,Rancadaka,41265
Pusakanagara,Kotasari,41265
Pusakanagara,Mundusari,41265
Pamanukan,Rancasari,41264
Pamanukan,Rancahilir,41264
Pamanukan,Pamanukan,41264
Pamanukan,Pamanukan Hilir,41264
Pamanukan,Pamanukan Sebrang,41264
Pamanukan,Mulyasari,41264
Pamanukan,Lengkongjaya,41264
Pamanukan,Bongas,41264
Jalancagak,Curugrendeng,41281
Jalancagak,Tambakan,41281
Jalancagak,Bunihayu,41281
Jalancagak,Kumpay,41281
Jalancagak,Sarireja,41281
Jalancagak,Tambakmekar,41281
Jalancagak,Jalancagak,41281
Blanakan,Tanjungtiga,41259
Blanakan,Muara,41259
Blanakan,Blanakan,41259
Blanakan,Rawameneng,41259
Blanakan,Cilamayagirang,41259
Blanakan,Jayamukti,41259
Blanakan,Cilamayahilir,41259
Blanakan,Rawamekar,41259
Blanakan,Langensari,41259
Tanjungsiang,Buniara,41284
Tanjungsiang,Tanjungsiang,41284
Tanjungsiang,Cimeuhmal,41284
Tanjungsiang,Sirap,41284
Tanjungsiang,Kawungluwuk,41284
Tanjungsiang,Cibuluh,41284
Tanjungsiang,Sindanglaya,41284
Tanjungsiang,Rancamanggung,41284
Tanjungsiang,Cikawung,41284
Tanjungsiang,Gandasoli,41284
Compreng,Jatimulya,41258
Compreng,Sukatani,41258
Compreng,Jatireja,41258
Compreng,Compreng,41258
Compreng,Kalensari,41258
Compreng,Mekarjaya,41258
Compreng,Kiarasari,41258
Compreng,Sukadana,41258
Patokbeusi,Rancabango,41263
Patokbeusi,Tanjungrasa,41263
Patokbeusi,Ciberes,41263
Patokbeusi,Jatiragas Hilir,41263
Patokbeusi,Tambakjati,41263
Patokbeusi,Rancajaya,41263
Patokbeusi,Gempolsari,41263
Patokbeusi,Tanjungrasa Kidul,41263
Patokbeusi,Rancaasih,41263
Patokbeusi,Rancamulya,41263
Cibogo,Sumurbarang,41285
Cibogo,Cibogo,41285
Cibogo,Cinangsi,41285
Cibogo,Padaasih,41285
Cibogo,Sadawarna,41285
Cibogo,Majasari,41285
Cibogo,Cisaga,41285
Cibogo,Belendung,41285
Cibogo,Cibalandong Jaya,41285
Cipunagara,Wanasari,41257
Cipunagara,Sidamulya,41257
Cipunagara,Tanjung,41257
Cipunagara,Jati,41257
Cipunagara,Simpar,41257
Cipunagara,Parigimulya,41257
Cipunagara,Sidajaya,41257
Cipunagara,Padamulya,41257
Cipunagara,Kosambi,41257
Cipunagara,Manyingsal,41257
Cijambe,Gunungtua,41286
Cijambe,Cijambe,41286
Cijambe,Cirangkong,41286
Cijambe,Cimenteng,41286
Cijambe,Bantarsari,41286
Cijambe,Tanjungwangi,41286
Cijambe,Cikadu,41286
Cijambe,Sukahurip,41286
Cipeundeuy,Karangmukti,41272
Cipeundeuy,Cimayasari,41272
Cipeundeuy,Lengkong,41272
Cipeundeuy,Cipeundeuy,41272
Cipeundeuy,Wantilan,41272
Cipeundeuy,Kosar,41272
Cipeundeuy,Sawangan,41272
Legonkulon,Tegalurung,41254
Legonkulon,Bobos,41254
Legonkulon,Legonkulon,41254
Legonkulon,Mayangan,41254
Legonkulon,Legonwetan,41254
Legonkulon,Pangarengan,41254
Legonkulon,Karangmulya,41254
Cikaum,Kawunganten,41266
Cikaum,Sindangsari,41266
Cikaum,Cikaum Barat,41266
Cikaum,Cikaum Timur,41266
Cikaum,Tanjungsari Barat,41266
Cikaum,Mekarsari,41266
Cikaum,Tanjungsari Timur,41266
Cikaum,Gandasari,41266
Cikaum,Pasirmuncang,41266
Serangpanjang,Cijengkol,41288
Serangpanjang,Talagasari,41288
Serangpanjang,Cintamekar,41288
Serangpanjang,Ponggang,41288
Serangpanjang,Cikujang,41288
Serangpanjang,Cipancar,41288
Sukasari,Anggasari,41250
Sukasari,Batangsari,41250
Sukasari,Sukamaju,41250
Sukasari,Mandalawangi,41250
Sukasari,Curugreja,41250
Sukasari,Sukareja,41250
Sukasari,Sukasari,41250
Tambakdahan,Tanjungrasa,41267
Tambakdahan,Wanajaya,41267
Tambakdahan,Gardumukti,41267
Tambakdahan,Mariuk,41267
Tambakdahan,Kertajaya,41267
Tambakdahan,Tambakdahan,41267
Tambakdahan,Rancaudik,41267
Tambakdahan,Bojongkeding,41267
Tambakdahan,Bojonegara,41267
Kasomalang,Sindangsari,41287
Kasomalang,Pasanggrahan,41287
Kasomalang,Bojongloa,41287
Kasomalang,Sukamelang,41287
Kasomalang,Tenjolaya,41287
Kasomalang,Kasomalang Wetan,41287
Kasomalang,Kasomalang Kulon,41287
Kasomalang,Cimanglid,41287
