subDistrict,name,postal_code
Semarang Tengah,Jagalan,50613
Semarang Tengah,Kranggan,50139
Semarang Tengah,Gabahan,50135
Semarang Tengah,Kembangsari,50133
Semarang Tengah,Sekayu,50132
Semarang Tengah,Pandansari,50139
Semarang Tengah,Bangunharjo,50138
Semarang Tengah,Kauman,50188
Semarang Tengah,Purwodinatan,50137
Semarang Tengah,Karang Kidul,50241
Semarang Tengah,Pekunden,50241
Semarang Tengah,Pindrikan Kidul,50131
Semarang Tengah,Pindrikan Lor,50131
Semarang Utara,Bandarharjo,50175
Semarang Utara,Bulu Lor,50179
Semarang Utara,Plombokan,50171
Semarang Utara,Purwosari,50172
Semarang Utara,Kuningan,50176
Semarang Utara,Panggung Lor,50177
Semarang Utara,Panggung Kidul,50178
Semarang Utara,Tanjung Mas,50174
Semarang Utara,Dadapsari,50173
Semarang Timur,Kemijen,50228
Semarang Timur,Rejomulyo,50227
Semarang Timur,Mlatibaru,50122
Semarang Timur,Kebonagung,50123
Semarang Timur,Mlatiharjo,50126
Semarang Timur,Bugangan,50126
Semarang Timur,Sarirejo,50124
Semarang Timur,Rejosari,50125
Semarang Timur,Karangturi,50124
Semarang Timur,Karangtempel,50232
Gayamsari,Tambakrejo,50174
Gayamsari,Kaligawe,50164
Gayamsari,Sawah Besar,50163
Gayamsari,Sambirejo,50166
Gayamsari,Siwalan,50162
Gayamsari,Pandean Lamper,50249
Gayamsari,Gayamsari,50248
Genuk,Sembungharjo,50116
Genuk,Kudu,50116
Genuk,Karangroto,50117
Genuk,Genuksari,50231
Genuk,Banjardowo,50117
Genuk,Gebangsari,50117
Genuk,Trimulyo,50118
Genuk,Penggaron Lor,50113
Genuk,Muktiharjo Lor,50111
Genuk,Bangetayu Kulon,50115
Genuk,Bangetayu Wetan,50115
Genuk,Terboyo Kulon,50112
Genuk,Terboyo Wetan,50112
Pedurungan,Penggaron Kidul,50194
Pedurungan,Tlogomulyo,50113
Pedurungan,Tlogosari Wetan,50196
Pedurungan,Tlogosari Kulon,50196
Pedurungan,Muktiharjo Kidul,50197
Pedurungan,Plamongansari,50199
Pedurungan,Gemah,50246
Pedurungan,Pedurungan Kidul,50192
Pedurungan,Pedurungan Lor,50192
Pedurungan,Pedurungan Tengah,50192
Pedurungan,Palebon,50246
Pedurungan,Kalicari,50198
Semarang Selatan,Randusari,50244
Semarang Selatan,Bulustalan,50246
Semarang Selatan,Barusari,50245
Semarang Selatan,Mugasari,50249
Semarang Selatan,Pleburan,50241
Semarang Selatan,Wonodri,50242
Semarang Selatan,Peterongan,50242
Semarang Selatan,Lamper Lor,50249
Semarang Selatan,Lamper Kidul,50249
Semarang Selatan,Lamper Tengah,50248
Candisari,Candi,50257
Candisari,Jatingaleh,50254
Candisari,Kaliwiru,50253
Candisari,Jomblang,50256
Candisari,Karanganyar Gunung,50255
Candisari,Tegalsari,50614
Candisari,Wonotingal,50252
Gajahmungkur,Karangrejo,50235
Gajahmungkur,Bendan Dhuwur,50235
Gajahmungkur,Bendan Ngisor,50233
Gajahmungkur,Sampangan,50232
Gajahmungkur,Gajahmungkur,50232
Gajahmungkur,Lempongsari,50231
Gajahmungkur,Petompon,50237
Gajahmungkur,Bendungan,50231
Tembalang,Meteseh,50271
Tembalang,Rowosari,50279
Tembalang,Mangunharjo,50272
Tembalang,Bulusan,50277
Tembalang,Kramas,50278
Tembalang,Tembalang,50275
Tembalang,Jangli,50274
Tembalang,Tandang,50274
Tembalang,Kedungmundu,50273
Tembalang,Sendangguwo,50273
Tembalang,Sendangmulyo,50272
Tembalang,Sambiroto,50276
Banyumanik,Pudakpayung,50265
Banyumanik,Gedawang,50266
Banyumanik,Jabungan,50266
Banyumanik,Pedalangan,50268
Banyumanik,Banyumanik,50264
Banyumanik,Srondol Kulon,50263
Banyumanik,Srondol Wetan,50263
Banyumanik,Ngesrep,50261
Banyumanik,Tinjomoyo,50262
Banyumanik,Padangsari,50267
Banyumanik,Sumurboto,50269
Gunungpati,Pakintelan,50227
Gunungpati,Mangunsari,50227
Gunungpati,Plalangan,50225
Gunungpati,Gunungpati,50229
Gunungpati,Nongkosawit,50224
Gunungpati,Pongangan,50229
Gunungpati,Ngijo,50228
Gunungpati,Patemon,50228
Gunungpati,Sekaran,50229
Gunungpati,Sukorejo,50221
Gunungpati,Sadeng,50222
Gunungpati,Cepoko,50223
Gunungpati,Jatirejo,50223
Gunungpati,Sumurrejo,50226
Gunungpati,Kalisegoro,50229
Gunungpati,Kandri,50222
Semarang Barat,Ngemplak Simongan,50148
Semarang Barat,Manyaran,50147
Semarang Barat,Krapyak,50146
Semarang Barat,Tambakharjo,50149
Semarang Barat,Kalibanteng Kulon,50145
Semarang Barat,Kalibanteng Kidul,50149
Semarang Barat,Gisikdrono,50149
Semarang Barat,Bongsari,50148
Semarang Barat,Bojongsalaman,50141
Semarang Barat,Salamanmloyo,50149
Semarang Barat,Cabean,50141
Semarang Barat,Karangayu,50149
Semarang Barat,Krobokan,50141
Semarang Barat,Tawangsari,50144
Semarang Barat,Tawangmas,50144
Semarang Barat,Kembangarum,50183
Mijen,Cangkiran,50216
Mijen,Bubakan,50216
Mijen,Karangmalang,50216
Mijen,Polaman,50217
Mijen,Purwosari,50217
Mijen,Tambangan,50215
Mijen,Wonolopo,50215
Mijen,Mijen,50519
Mijen,Jatibarang,50219
Mijen,Kedungpane,50211
Mijen,Ngadirgo,50213
Mijen,Wonoplumbon,50214
Mijen,Jatisari,50275
Mijen,Pesantren,50212
Ngaliyan,Gondoriyo,50187
Ngaliyan,Podorejo,50187
Ngaliyan,Bringin,50189
Ngaliyan,Purwoyoso,50184
Ngaliyan,Kalipancur,50183
Ngaliyan,Bambankerep,50211
Ngaliyan,Ngaliyan,50181
Ngaliyan,Tambakaji,50185
Ngaliyan,Wonosari,50244
Ngaliyan,Wates,50188
Tugu,Jerakah,50151
Tugu,Tugurejo,50185
Tugu,Karanganyar,50152
