subDistrict,name,postal_code
Cikupa,Pasir Jaya,15710
Cikupa,Budi Mulya,15710
Cikupa,Bojong,15710
Panongan,Mekar Bakti,15711
Panongan,Ranca Iyuh,15711
Panongan,Peusar,15711
Panongan,Ranca Kalapa,15711
Panongan,Serdang Kulon,15711
Panongan,Mekar Jaya,15711
Panongan,Ciakar,15711
Panongan,Panongan,15711
Legok,Babakan,15820
Legok,Caringin,15820
Legok,Serdang Wetan,15820
Legok,Babat,15820
Legok,Ciangir,15820
Legok,Legok,15820
Legok,Palasari,15820
Legok,Bojongkamal,15820
Legok,Rancagong,15820
Legok,Kemuning,15820
Legok,Cirarab,15820
Pagedangan,Medang,15334
Pagedangan,Cicalengka,15336
Pagedangan,Pagedangan,15339
Pagedangan,Cijantra,15335
Pagedangan,Lengkong Kulon,15331
Pagedangan,Situ Gadung,15338
Pagedangan,Jatake,15330
Pagedangan,Cihuni,15332
Pagedangan,Kadu Sirung,15337
Pagedangan,Malang Nengah,15330
Pagedangan,Karang Tengah,15157
Cisauk,Cisauk,15341
Cisauk,Mekar Wangi,15340
Cisauk,Suradita,15343
Cisauk,Sampora,15345
Cisauk,Dangdang,15342
Cisauk,Cibogo,15344
Sukamulya,Benda,15612
Sukamulya,Sukamulya,15612
Sukamulya,Kaliasin,15612
Sukamulya,Buniayu,15612
Sukamulya,Parahu,15612
Sukamulya,Merak,15612
Sukamulya,Bunar,15612
Sukamulya,Kubang,15612
Kelapa Dua,Kelapa Dua,15811
Kelapa Dua,Bencongan,15811
Kelapa Dua,Bencongan Indah,15811
Kelapa Dua,Pakulonan Barat,15811
Kelapa Dua,Bojong Nangka,15811
Kelapa Dua,Curug Sangereng,15811
Sindang Jaya,Sindang Jaya,15561
Sindang Jaya,Wanakerta,15561
Sindang Jaya,Sukaharja,15561
Sindang Jaya,Sindangasih,15561
Sindang Jaya,Sindangpanon,15561
Sindang Jaya,Sindangsono,15561
Sindang Jaya,Badak Anom,15561
Sepatan Timur,Kedaung Barat,15521
Sepatan Timur,Lebak Wangi,15521
Sepatan Timur,Jati Mulya,15521
Sepatan Timur,Sangiang,15521
Sepatan Timur,Gempol Sari,15521
Sepatan Timur,Kampung Kelor,15521
Sepatan Timur,Pondok Kelor,15521
Sepatan Timur,Tanah Merah,15521
Solear,Solear,15731
Solear,Cikuya,15731
Solear,Cikasungka,15731
Solear,Cireundeu,15731
Solear,Cikareo,15731
Solear,Pasanggrahan,15731
Solear,Munjul,15731
Gunung Kaler,Gunung Kaler,15620
Gunung Kaler,Sidoko,15620
Gunung Kaler,Rancagede,15620
Gunung Kaler,Kedung,15620
Gunung Kaler,Cipaeh,15620
Gunung Kaler,Onyam,15620
Gunung Kaler,Tamiang,15620
Gunung Kaler,Kandawati,15620
Gunung Kaler,Cibetok,15620
Mekar Baru,Mekar Baru,15551
Mekar Baru,Kedaung,15551
