subDistrict,name,postal_code
Welesi,Yagara,99512
Welesi,Asojelipele,99512
Welesi,Lantipo,99512
Welesi,Pawekama,99512
Welesi,Apenas,99512
Welesi,Tulima,99512
Asotipo,Sogokmo,99502
Asotipo,Asotipo,99502
Asotipo,Putagaima,99502
Asotipo,Kuantapo,99502
Asotipo,Heberima,99502
Asotipo,Iwigima,99502
Asotipo,Pobiatma,99502
Asotipo,Hitigima,99502
Asotipo,Air Garam,99502
Asotipo,Hukulimo,99502
Maima,Maima,99504
Maima,Minimo,99504
Maima,Esiak,99512
Maima,Heraewa,99504
Maima,Kepi,99504
Maima,Husewa,99504
Maima,Menagaima,99504
Popugoba,Pupugoba,99506
Popugoba,Waima,99506
Popugoba,Yomote,99506
Popugoba,Yelelo,99506
Wame,Wame,99536
Wame,Dumapaga,99536
Wame,Yanenggame,99536
Wame,Dogoname,99536
Wesaput,Ilokama,99513
Wesaput,Kama,99513
Wesaput,Yaloaput,99513
Wesaput,Mawampi,99513
Wesaput,Parema,99513
Wesaput,Agamoa,99513
Wesaput,Silumarek,99513
Wesaput,Wesaganya,99513
Oksibil,Kabiding,99415
Oksibil,Aldom,99573
Oksibil,Kutdol,99573
Oksibil,Polsam,99573
Oksibil,Akmakot,99573
Oksibil,Mabilabol,99573
Oksibil,Bunamdol,99573
Oksibil,Molbib Silibib,99573
Kiwirok,Oknanggul,99421
Kiwirok,Kukihil,99574
Kiwirok,Kiwi,99574
Kiwirok,Berusaha,99421
Kiwirok,Pelebib,99574
Kiwirok,Sopamikma,99574
Kiwirok,Asua,99421
Kiwirok,Lolim,99574
Kiwirok,Pomding,99574
Kiwirok,Diip,99421
Kiwirok,Delpem,99574
Kiwirok,Mangoldoki,99574
Okbibab,Okbifisil,99404
Okbibab,Abmisibil,99572
Okbibab,Manunggal,99572
Okbibab,Iriding,99404
Okbibab,Atolbol,99572
Okbibab,Oktanglap,99572
Okbibab,Oksemar,99572
Okbibab,Okaplo,99404
Iwur,Iwur,99432
Iwur,Kurumklin,99432
Iwur,Walapkubun,99432
Iwur,Dinmot Arim,99575
Iwur,Ewenkatop,99575
Iwur,Ulkubi,99575
Iwur,Dipol,99575
Iwur,Nenginum,99432
Iwur,Narnger,99575
Iwur,Kamyoim,99575
Batom,Batom,99442
Batom,Oksip,99576
Batom,Mongham,99576
Batom,Sabi,99576
Batom,Neep,99576
Batom,Muara,99442
Batom,Batom Dua,99576
Batom,Akyako,99576
Batom,Peteng,99442
Batom,Belomo,99576
Batom,Abukerom,99442
Borme,Borme,99452
Borme,Omban,99452
Borme,Sikibur,99577
Borme,Onya,99577
Borme,Arina,99452
Borme,Bordamban,99452
Borme,Aringgon,99452
Borme,Bukam,99577
Borme,Kwime,99577
Borme,Kolgir,99577
Borme,Cangdamban,99577
Borme,Laydamban,99577
Borme,Seban,99577
Kiwirok Timur,Okyop,99574
Kiwirok Timur,Oketur,99422
Kiwirok Timur,Ehipten,99422
Kiwirok Timur,Wantem,99422
Kiwirok Timur,Dikdon,99422
Kiwirok Timur,Okyako,99422
Kiwirok Timur,Okyaop,99574
Kiwirok Timur,Tatam,99422
Kiwirok Timur,Okhik,99574
Aboy,Aboy,99401
Aboy,Luban,99401
Aboy,Jubly,99578
Aboy,Armise,99401
Aboy,Woro,99401
Aboy,Pipal,99401
Aboy,Lulis Wii,99401
Pepera,Pepera,99573
Pepera,Okbon,99417
Pepera,Yun Muku,99573
Pepera,Denom,99573
Pepera,Bon Yakwol,99573
Pepera,Ok Telabe,99417
Pepera,Wok Bakon,99417
Bime,Bime,99451
Bime,Bob,99586
Bime,Kameme,99586
Bime,Calab,99451
Bime,Limiri,99451
Bime,Teli,99451
Bime,Lim Lim,99451
Bime,Bunggon,99451
Bime,Perem,99451
Bime,Turwe,99451
Alemsom,Eraduman,99411
Alemsom,Alemsom,99411
Alemsom,Tapasik,99411
Alemsom,Payol Masumkon,99411
Alemsom,Tapob,99411
Alemsom,Bakwalin Yub,99411
Alemsom,Imiryi,99411
Alemsom,Sumtamon,99411
Alemsom,Bondik,99411
Alemsom,Muruman,99411
Alemsom,Binalkom,99411
Alemsom,Tibal,99411
Okbape,Bape,99414
Okbape,Masim,99414
Okbape,Akmer,99414
Okbape,Kasawi,99414
Okbape,Tapasik Dua Bapenka,99414
Okbape,Ibot,99414
Kalomdol,Dabolding,99412
Kalomdol,Kalomdol,99412
Kalomdol,Tulo,99412
Kalomdol,Arinkop,99412
Kalomdol,Imik,99412
Oksop,Oksop,99416
Oksop,Mimin,99416
Oksop,Atenor,99416
Oksop,Oktumi,99416
Oksop,Alutbakon,99416
Serambakon,Yapimakot,99418
Serambakon,Seramkatop,99418
Serambakon,Parim,99418
Serambakon,Siminbuk,99418
Serambakon,Modusit,99418
Serambakon,Wanbakon,99418
Serambakon,Yakmor,99418
Serambakon,Okatem,99418
Ok Aom,Kungulding,99413
Ok Aom,Bulangkop,99413
Ok Aom,Limarum,99413
Ok Aom,Yumakot,99413
Ok Aom,Aplim,99413
Ok Aom,Okdo,99413
Kawor,Arintap,99433
Kawor,Tarngop,99433
Kawor,Kawor,99433
Kawor,Sakup,99433
Kawor,Umding,99433
Kawor,Nanum,99433
Kawor,Ater,99433
Awinbon,Awinbon,99431
Awinbon,Nanum Anaip,99431
Awinbon,Mikir,99431
Awinbon,Kawe,99431
Awinbon,Yelobib,99431
Tarup,Tarup,99434
Tarup,Marang Tiking,99434
Tarup,Imsin,99434
Tarup,Bitipding,99434
Tarup,Onkor,99434
Tarup,Beten Dua,99434
Tarup,Omor,99434
Okhika,Okelwel,99424
Okhika,Kotyobakon,99424
Okhika,Okteneng,99424
Okhika,Tengnong,99424
Oksamol,Okma,99426
Oksamol,Oktae,99426
Oksamol,Tinibil,99426
Oksamol,Okdilam,99426
Oksamol,Autpahik,99426
Oksamol,Tomka,99426
Oksamol,Okpa,99426
Oksamol,Okhaka,99426
Oksamol,Honkuding,99426
Oksamol,Bomding,99426
Oksamol,Okdunam,99426
Oksamol,Paune,99426
Oklip,Oklip,99425
Oklip,Okhim,99425
Oklip,Oktem,99425
Oklip,Okbumul,99425
Oklip,Okamin,99425
Oklip,Oktumi,99425
Oklip,Komok,99425
Okbemtau,Oktau,99423
Okbemtau,Oktaru,99423
Okbemtau,Okbem,99423
Okbemtau,Okngam,99423
Okbemtau,Bemhimiku,99423
Okbemtau,Bilip Bayo,99423
Okbemtau,Atang Doki,99423
Okbemtau,Okalut Kumal,99423
Okbemtau,Kaep,99423
Oksebang,Kubiphkop,99427
Oksebang,Okano,99427
Oksebang,Sebul,99427
Oksebang,Mangabip,99427
Okbab,Sabin,99403
Okbab,Borban,99403
Okbab,Kirimu,99403
Okbab,Dumpasi,99403
Okbab,Maksum,99403
Okbab,Pedam,99403
Okbab,Tupoplyom,99403
Okbab,Yapil,99403
Okbab,Atembabol,99403
Okbab,Omliom,99403
Okbab,Peneli,99403
Okbab,Markom,99403
Batani,Karye,99441
Batani,Batani,99441
Batani,Segame,99441
Batani,Palur Satu,99441
Batani,Palur Dua,99441
Batani,Sople,99441
Batani,Bakata,99441
Weime,Merpasikne,99446
Weime,Taramlu,99446
Weime,Weime,99446
Weime,Meryang,99446
Weime,Limrepasikne,99446
Weime,Youlban,99446
Weime,Mekdamgon,99446
Weime,Daluban,99446
Weime,Nomteren,99446
Murkim,Bias,99444
Murkim,Bumi,99444
Murkim,Tero,99444
Murkim,Delemo,99444
Mofinop,Mot,99443
Mofinop,Milki,99443
Mofinop,Yubu,99443
Mofinop,Muara Asbi,99443
Mofinop,Tual,99443
Jetfa,Jetfa,99402
Jetfa,Lulis,99402
Jetfa,Tupalma Satu,99402
Jetfa,Tupalma Dua,99402
Jetfa,Kalimbu,99402
Jetfa,Bris,99402
Teiraplu,Teiraplu,99405
Teiraplu,Sinami,99405
Teiraplu,Maigame,99405
Teiraplu,Murme,99405
Teiraplu,Yuaban Satu,99405
Teiraplu,Yuaban Dua,99405
Teiraplu,Terapdei,99405
Teiraplu,Yitarget,99405
Teiraplu,Teriame,99405
Teiraplu,Bautme,99405
Eipumek,Eipumek,99453
Eipumek,Lalakon,99453
Eipumek,Londinin,99453
Eipumek,Talemu,99453
Eipumek,Wakidam,99453
Eipumek,Bunyirye,99453
Eipumek,Basiringe,99453
Eipumek,Barama,99453
Eipumek,Tanime,99453
Eipumek,Serabum,99453
Eipumek,Supleyu,99453
Eipumek,Kweredala,99453
Eipumek,Mungkona,99453
Eipumek,Malingdam,99453
Pamek,Marikla,99454
Pamek,Yabosorom,99454
Pamek,Pamek,99454
Pamek,Barice,99454
Pamek,Imde,99454
Pamek,Lumdakna,99454
Pamek,Baramirye,99454
Pamek,Mandalak,99454
Pamek,Yokul,99454
Pamek,Kalek,99454
Pamek,Pinggon,99454
Nongme,Nongme,99445
Nongme,Rubol,99445
Nongme,Yokom,99445
Nongme,Yarigon,99445
Nongme,Omtamur,99445
Nongme,Cangpally,99445
Nongme,Kwarban,99445
Kurima,Obolma,99705
Kurima,Ibiroma,99041
Kurima,Hihundes,99705
Kurima,Wanem,99041
Kurima,Anjelma,99041
Kurima,Pusuaga,99041
Kurima,Wulik Punua,99041
Kurima,Kilise,99041
Kurima,Air Garam,99041
Kurima,Esalien,99041
Kurima,Lukulema,99041
Kurima,Tukuarek,99041
Kurima,Kima,99705
Kurima,Yagarelo,99041
Kurima,Soroh,99705
Kurima,Eroma,99705
Kurima,Lotia,99041
Kurima,Wuluagaima,99041
Kurima,Huken,99041
Kurima,Huguma,99041
Kurima,Parela,99041
Kurima,Hesmat,99041
Anggruk,Yahulikma,99751
Anggruk,Lelambo,99042
Anggruk,Tulpa,99042
Anggruk,Ilwap,99042
Anggruk,Kiltam,99042
Anggruk,Pilong,99042
Anggruk,Vuno,99042
Anggruk,Suahi,99042
Anggruk,Tohong,99042
Anggruk,Paliptek,99042
Anggruk,Letin,99042
Anggruk,Hohe,99042
Ninia,Ninia,99740
Ninia,Liligan,99043
Ninia,Niniahan,99043
Ninia,Waerek,99043
Ninia,Wahaik,99043
Ninia,Sohwal,99043
Ninia,Babet,99043
Ninia,Kahul,99043
Ninia,Hwealoma,99043
Ninia,Liligan II,99740
Silimo,Momnoak,99712
Silimo,Silimo,99712
Silimo,Eksa,99712
Silimo,Siloma,99712
Silimo,Asia,99712
Silimo,Suet,99712
Silimo,Walkruk,99712
Silimo,Sodule,99712
Silimo,Sagaduk,99712
Silimo,Sianele,99712
Silimo,Eremnahom,99712
Silimo,Silon,99712
Silimo,Nikilei,99712
Silimo,Suok,99712
Silimo,Fabe,99712
Silimo,Weakma,99712
Silimo,Pinda,99712
Silimo,Hwesalemo,99712
Silimo,Sebin,99712
Silimo,Wubialo,99712
Samenage,Samenage,99710
Samenage,Haleroma,99710
Samenage,Muke,99710
Samenage,Pona,99710
Samenage,Ison,99710
Samenage,Asotapo,99710
Samenage,Hirin,99710
Samenage,Notnarek,99710
Samenage,Hugi Lokon,99710
Nalca,Nalca,99757
Nalca,Cenderawasih,99757
Nalca,Manggona,99757
Nalca,Bolda,99757
Nalca,Emm,99757
Nalca,Imsekla,99757
Nalca,Hein,99757
Nalca,Luwemna,99757
Dekai,Dekai,99702
Dekai,Kuaserama,99702
Dekai,Moruku,99702
Dekai,Massi,99702
Dekai,Keikey,99702
Dekai,Kuari,99702
Dekai,Muara,99702
Dekai,Kiribun,99702
Dekai,Kokamu,99702
Dekai,Tomon I,99702
Dekai,Sokamu,99702
Dekai,Tomon II,99702
Obio,Munu,99708
Obio,Obio,99708
Obio,Pugun,99708
Obio,Ujin,99708
Obio,Yahufa,99708
Obio,Jibak,99708
Obio,Patin,99708
Obio,Hom hom,99708
Obio,Wendame,99708
Obio,Kwakenoro,99708
Obio,Busupa,99708
Obio,Yagebo,99708
Obio,Penigik,99708
Suru Suru,Gopa,99049
Suru Suru,Jinusugu,99049
Suru Suru,Woropi,99715
Suru Suru,Senipan,99049
Suru Suru,Yosua,99049
Suru Suru,Rentis,99715
Suru Suru,Solok,99049
Wusama,Apdagma,99719
Wusama,Sabin,99719
Wusama,Mugi,99719
Wusama,Harap,99719
Wusama,Suok,99719
Wusama,Mul,99719
Wusama,Kolodoma,99719
Wusama,Sangatur,99719
Wusama,Sowaling,99719
Wusama,Yerekama,99719
Wusama,Walkuma,99719
Amuma,Amuma,99701
Amuma,Sarmuge,99701
Amuma,Tolikapura,99701
Amuma,Wisikma,99701
Amuma,Silorin,99701
Amuma,Waeklek,99701
Amuma,Balum Erang,99701
Amuma,Golowen,99701
Amuma,Orugai,99701
Amuma,Plau,99701
Amuma,Sagasal,99701
Amuma,Kinika,99701
Amuma,Harapan,99701
Musaik,Usaregeik,99707
Musaik,Lidipmu,99707
Musaik,Sumegen,99707
Musaik,Hendikma,99707
Musaik,Bue,99707
Musaik,Haletuk,99707
Musaik,Dekbok,99707
Musaik,Yeriko,99707
Musaik,Weleheikma,99707
Musaik,Esaikma,99707
Pasema,Pasema,99709
Pasema,Leinoko,99709
Pasema,Lowet,99709
Pasema,Wea,99709
Pasema,Sengangge,99709
Pasema,Wulin,99709
Pasema,Pupi,99709
Hogio,Paima,99703
Hogio,Dugumhad,99703
Hogio,Leleak,99703
Hogio,Subsal,99703
Hogio,Sengsenagaik,99703
Hogio,Sipnidipmu,99703
Hogio,Hogio I,99703
Hogio,Hogio II,99703
Mugi,Kosihun,99706
Mugi,Seima,99706
Mugi,Userem,99706
Mugi,Yuarima,99706
Mugi,Ugem,99706
Mugi,Wusagasem,99706
Mugi,Hunenima,99706
Mugi,Itlay Wopi,99706
Mugi,Togoluk,99706
Mugi,Herawe,99706
Mugi,Hendang,99706
Mugi,Ilokomo,99706
Mugi,Hulesi,99706
Mugi,Wanesi,99706
Mugi,Panyoke,99706
Mugi,Nyikinen,99706
Mugi,Wesangma,99706
Mugi,Olomising,99706
Mugi,Wemasili,99706
Mugi,Lugulmu,99706
Soba,Soba,99713
Soba,Hepinis,99713
Soba,Aguluntipmu,99713
Soba,Nilen,99713
Soba,Surukmu,99713
Soba,Tanda,99713
Werima,Lokon,99718
Werima,Luarima,99718
Werima,Werima,99718
Werima,Hanoasuok,99718
Werima,Wesagalep,99718
Werima,Wesama,99718
Werima,Weasi,99718
Werima,Weriaput,99718
Werima,Suesi,99718
Werima,Nesuwen,99718
Werima,Esema Husage,99718
Werima,Libuk,99718
Werima,Hagawen,99718
Werima,Hepia,99718
Tangma,Tangma,99716
Tangma,Wamarek,99716
Tangma,Hipela,99716
Tangma,Huewi,99716
Tangma,Punno,99716
Tangma,Simeka,99716
Tangma,Yeleas,99716
Tangma,Aleleng,99716
Tangma,Yalimo,99716
Tangma,Helo,99716
Ukha,Ukha,99717
Ukha,Kuleken,99717
Ukha,Amisangi,99717
Ukha,Wenapuk,99717
Ukha,Eki,99717
Ukha,Yelepunu,99717
Ukha,Siolorema,99717
Ukha,Musanarek,99717
Ukha,Walialema,99717
Ukha,Lua,99717
Ukha,Wakunyama,99049
Panggema,Pontenikma,99759
Panggema,Kuni,99759
Panggema,Panggema,99759
Panggema,Homtonggo,99759
Panggema,Tukam,99759
Panggema,Kemumanggen,99759
Panggema,Yangkali,99759
Panggema,Weresili,99759
Panggema,Susek,99759
Panggema,Kolu,99759
Panggema,Tonggoi,99759
Panggema,Bineluk,99759
Panggema,Masahan,99759
Kosarek,Kosarek,99756
Kosarek,Nahomas,99756
Kosarek,Silkom,99756
Kosarek,Wahe,99756
Kosarek,Hombuka,99756
Kosarek,Mine,99756
Kosarek,Uldam,99756
Kosarek,Tiple,99756
Kosarek,Wesaltek,99756
Kosarek,Konosa,99756
Kosarek,Illion,99756
Nipsan,Nipsan,99758
Nipsan,Tapla,99758
Nipsan,Walmak,99758
Nipsan,Serengon,99758
Nipsan,Ikmu,99758
Nipsan,Biu,99758
Nipsan,Ilukdamon,99758
Nipsan,Yalmun,99758
Ubahak,Ubahak,99763
Ubahak,Saruk,99763
Ubahak,Pini,99763
Ubahak,Sosomikma,99763
Ubahak,Suhuntek,99763
Ubahak,Keleng,99763
Ubahak,Silong,99763
Ubahak,Nurap,99763
Ubahak,Wamuhuk,99763
Ubahak,Welile,99763
Ubahak,Mabien,99763
Ubahak,Kibianggen,99763
Ubahak,Koluang,99763
Ubahak,Tolombing,99763
Ubahak,Furuluk,99763
Ubahak,Oblin,99763
Ubahak,Bisifak,99763
Pronggoli,Siwikma,99760
Pronggoli,Pontenpilik,99760
Pronggoli,Piliam,99760
Pronggoli,Hiklahin,99760
Pronggoli,Helapilik,99760
Pronggoli,Lirutek,99760
Pronggoli,Huhulpunu,99760
Pronggoli,Pronggoli,99760
Walma,Walma,99765
Walma,Solinggul,99765
Walma,Hontulun,99765
Walma,Honggolek,99765
Walma,Werene,99765
Walma,Weri,99765
Walma,Wewasi,99765
Walma,Yetehup,99765
Yahuliambut,Subundalek,99745
Yahuliambut,Tanggeam,99745
Yahuliambut,Amfulma,99745
Yahuliambut,Suksale,99745
Yahuliambut,Linggisen,99745
Hereapini,Hereapini,99755
Hereapini,Pelentum,99755
Hereapini,Homboki,99755
Hereapini,Menetsing,99755
Hereapini,Pue,99755
Hereapini,Kabukal,99755
Hereapini,Kinkun,99755
Hereapini,Hoet,99755
Hereapini,Muhumu,99755
Hereapini,Ohena,99755
Hereapini,Nelisa,99755
Ubalihi,Wanam,99764
Ubalihi,Hereky,99764
Ubalihi,Membaham,99764
Ubalihi,Wisomi,99764
Ubalihi,Talambela,99764
Ubalihi,Sehelu,99764
Ubalihi,Ubalihion,99764
Ubalihi,Walahan,99764
Ubalihi,Salakma,99764
Ubalihi,Samiyul,99764
Ubalihi,Letfet,99764
Talambo,Talambo,99762
Talambo,Tibul,99762
Talambo,Kikila,99762
Talambo,Palukae,99762
Talambo,Wubri,99762
Talambo,Bari,99762
