parent;unspsc;name;id_name
;A;Raw Materials, Chemicals, Paper, Fuel;Bahan baku, bahan kimia, kertas, bahan bakar
;B;Industrial Equipment & Tools;Peralatan & Alat Industri
;C;Components & Supplies;Komponen & Perlengkapan
;D;Construction, Transportation & Facility Equipment & Supplies;Konstruksi, Transportasi & Fasilitas Peralatan & Perlengkapan
;E;Medical, Laboratory & Test Equipment & Supplies & Pharmaceuticals;Medis, Laboratorium & Peralatan Uji & Perlengkapan & Farmasi
;F;Food, Cleaning & Service Industry Equipment & Supplies;Peralatan & Perlengkapan Industri Makanan, Kebersihan & Jasa
;G;Business, Communication & Technology Equipment & Supplies;Bisnis, Komunikasi & Teknologi Peralatan & Perlengkapan
;H;Defense, Security & Safety Equipment & Supplies;Pertahanan, Keamanan & Keselamatan Peralatan & Perlengkapan
;I; Personal, Domestic & Consumer Equipment & Supplies;Peralatan & Perlengkapan Pribadi, Domestik & Konsumen
;J;Services;Layanan
Raw Materials, Chemicals, Paper, Fuel;10000000;Live Plant and Animal Material and Accessories and Supplies;Bahan Tumbuhan dan Hewan Hidup serta Aksesori dan Perlengkapan
Live Plant and Animal Material and Accessories and Supplies;10100000;Live animals;Hewan hidup
Live animals;10101500;Livestock;Ternak
Livestock;10101501;Cats;Kucing
Livestock;10101502;Dogs;Anjing
Livestock;10101506;Horses;Kuda
Livestock;10101507;Sheep;Domba
Livestock;10101508;Goats;Kambing
Livestock;10101509;Asses;Keledai
Livestock;10101511;Swine;Babi
Livestock;10101512;Rabbits;Kelinci
Livestock;10101513;Guinea pigs;Babi percobaan
Livestock;10101516;Cattle;Ternak
Live animals;10101600;Birds and fowl;Burung dan unggas
Birds and fowl;10101601;Live chickens;Ayam hidup
Birds and fowl;10101602;Live ducks;Bebek hidup
Birds and fowl;10101603;Live turkeys;Kalkun hidup
Birds and fowl;10101604;Live geese;Angsa hidup
Birds and fowl;10101605;Live pheasants;Burung pegar hidup
Live animals;10101700;Live fish;Ikan hidup
Live fish;10101701;Live salmon;Salmon hidup
Live animals;10101800;Shellfish and aquatic invertebrates;Kerang dan invertebrata air
Shellfish and aquatic invertebrates;10101801;Live shrimp;Udang hidup
Live animals;10101900;Insects;Serangga
Insects;10101903;Bees;Lebah
Insects;10101904;Silkworms;Ulat sutra
Live Plant and Animal Material and Accessories and Supplies;10120000;Animal feed;Pakan ternak
Animal feed;10121500;Livestock feed;Pakan ternak
Livestock feed;10121501;Pure wheat bran;Dedak gandum murni
Animal feed;10121600;Bird and fowl food;Makanan burung dan unggas
Bird and fowl food;10121601;Live food for birds;Makanan hidup untuk burung
Animal feed;10121700;Fish food;Makanan ikan
Fish food;10121701;Fresh or frozen brine;Air garam segar atau beku
Animal feed;10121800;Dog and cat food;Makanan anjing dan kucing
Dog and cat food;10121801;Dry food for dogs;Makanan kering untuk anjing
Animal containment and habitats;10131600;Animal containment;Penahanan hewan
Animal containment and habitats;10131500;Animal shelters;Tempat penampungan hewan
Animal containment;10131601;Cages or its accessories;Kandang atau aksesorinya
Animal habitats;10131701;Terrariums;Terarium
Animal containment;10131602;Kennels;Kandang
Live Plant and Animal Material and Accessories and Supplies;10140000;Saddlery and harness goods;Barang pelana dan harness
Saddlery and harness goods;10141500;Saddlery;Pelana
Saddlery;10141501;Saddles;Sadel
Live Plant and Animal Material and Accessories and Supplies;10150000;Seeds and bulbs and seedlings and cuttings;Benih dan umbi dan bibit dan stek
Seeds and bulbs and seedlings and cuttings;10151500;Vegetable seeds and seedlings;Benih sayuran dan bibit
Legume seeds and seedlings;10152301;Bean seeds or seedlings;Biji kacang atau bibit
Tuber seeds and seedlings;10152404;Carrot seeds or seedlings;Biji atau bibit wortel
Vegetable seeds and seedlings;10151503;Celery seeds or seedlings;Biji seledri atau bibit
Vegetable seeds and seedlings;10151504;Chili seeds or seedlings;Biji atau bibit cabai
Vegetable seeds and seedlings;10151505;Courgette seeds or seedlings;Biji atau bibit courgette
Vegetable seeds and seedlings;10151506;Pea seeds or seedlings;Biji kacang polong atau bibit
Vegetable seeds and seedlings;10151507;Cucumber seeds or seedlings;Biji atau bibit mentimun
Vegetable seeds and seedlings;10151508;Eggplant seeds or seedlings;Benih atau bibit terong
