name;description;variant_code;uom;customer_product_code
CELANA BIRU NEW;CELANA BIRU NEW;;PCS;50345
BAJU FRONTLINER;BAJU FRONTLINER;;PCS;50327
TISSUE JUMBO ROLL ECO VALUE 16 IN 2 PLY;TISSUE JUMBO ROLL ECO VALUE 16 IN 2 PLY;;BOX;20400
SEPATU SAFETY KPR L-026;SEPATU SAFETY KPR L-026;;PAIR;50222
KANTONG PLASTIK SAMPAH HD 90 X 120 CM - HITAM;KANTONG PLASTIK SAMPAH HD 90 X 120 CM - HITAM;;KG;20103
SEPATU SAFETY KPR L-706;SEPATU SAFETY KPR L-706;;PAIR;50225
BAJU GONDOLA/GARDENER NEW;BAJU GONDOLA/GARDENER NEW;;PCS;50330
KANTONG PLASTIK SAMPAH HD 60 X 90 CM - HITAM;KANTONG PLASTIK SAMPAH HD 60 X 90 CM - HITAM;;KG;20102
TASKI EMEREL R7 MULTI SURFACE CREME CLEANSER;TASKI EMEREL R7 MULTI SURFACE CREME CLEANSER;;BTL;10293
SEPATU CLEANER DUSAFE (DS 800 CSR );SEPATU CLEANER DUSAFE (DS 800 CSR );;PAIR;50211
CELANA PANJANG BIRU DONGKER SCOTLITE;CELANA PANJANG BIRU DONGKER SCOTLITE;;PCS;50444
SEPATU PDH;SEPATU PDH;;PAIR;50215
JOHNSON NEW COMPLETE 4 LTR/GLN;JOHNSON NEW COMPLETE 4 LTR/GLN;;LTR;10084
MARBLE POLISH POWDER PAG 5 EXT LIGHT 20KG/PAIL;MARBLE POLISH POWDER PAG 5 EXT LIGHT 20KG/PAIL;;KG;10013
TISSUE PLENTY BATHROOM NON EMBOSSED 200 (PLBT-057);TISSUE PLENTY BATHROOM NON EMBOSSED 200 (PLBT-057);;BOX;20367
CELANA PSH / PSL (COKELAT);CELANA PSH / PSL (COKELAT);;PCS;50426
TISSUE SEE-U HAND TOWEL 140'S 1X20PACK (SUHT-019);TISSUE SEE-U HAND TOWEL 140'S 1X20PACK (SUHT-019);;BOX;20365
SEPATU SAFETY KPR L-807;SEPATU SAFETY KPR L-807;;PAIR;50223
MAMA LEMON REFILL 400 ML (1 DOZ = 12 POUCH);MAMA LEMON REFILL 400 ML (1 DOZ = 12 POUCH);;DOZ;10282
"FLOOR PAD MERAH 3M - 16""";"FLOOR PAD MERAH 3M - 16""";;PCS;20045
SAPU NILON NAGATA 0717 KW2;SAPU NILON NAGATA 0717 KW2;;PCS;20187
KAOS ISS LENGAN PENDEK NEW;KAOS ISS LENGAN PENDEK NEW;;PCS;50339
CELANA PDL SATU CARGO (COKELAT);CELANA PDL SATU CARGO (COKELAT);;PCS;50424
SARUNG TANGAN ANSEL (1 BOX = 10 PAIR);SARUNG TANGAN ANSEL (1 BOX = 10 PAIR);;BOX;50362
FLOORPRO PROTECT DISPERSION EXTRA RM 782 5X1 GLN;FLOORPRO PROTECT DISPERSION EXTRA RM 782 5X1 GLN;;GLN;10345
TASKI GOOD SENSE GREEN APPLE CONCENTRA 2X2,5L/CTN;TASKI GOOD SENSE GREEN APPLE CONCENTRA 2X2,5L/CTN;;GLN;10237
MICROFIBER WET MOP BLUE;MICROFIBER WET MOP BLUE;;PCS;20452
SEPATU PDL SAFETY SECURITY;SEPATU PDL SAFETY SECURITY;;PAIR;50294
BAJU PDL SATU TANPA LOGO (CREAM);BAJU PDL SATU TANPA LOGO (CREAM);;PCS;50447
