country,name
Indonesia,Aceh
Indonesia,Sumatera Utara
Indonesia,Sumatera Barat
Indonesia,Riau
Indonesia,Jambi
Indonesia,Sumatera Selatan
Indonesia,Bengkulu
Indonesia,Lampung
Indonesia,Kepulauan Bangka Belitung
Indonesia,Kepulauan Riau
Indonesia,DKI Jakarta
Indonesia,Jawa Barat
Indonesia,Jawa Tengah
Indonesia,DI Yogyakarta
Indonesia,Jawa Timur
Indonesia,Banten
Indonesia,Bali
Indonesia,Nusa Tenggara Barat
Indonesia,Nusa Tenggara Timur
Indonesia,Kalimantan Barat
Indonesia,Kalimantan Tengah
Indonesia,Kalimantan Selatan
Indonesia,Kalimantan Timur
Indonesia,Kalimantan Utara
Indonesia,Sulawesi Utara
Indonesia,Sulawesi Tengah
Indonesia,Sulawesi Selatan
Indonesia,Sulawesi Tenggara
Indonesia,Gorontalo
Indonesia,Sulawesi Barat
Indonesia,Maluku
Indonesia,Maluku Utara
Indonesia,Papua Barat
Indonesia,Papua
Indonesia,Papua Selatan
Indonesia,Papua Tengah
Indonesia,Papua Pegunungan
