district,name
Kabupaten Aceh Selatan,Bakongan
Kabupaten Aceh Selatan,Kluet Utara
Kabupaten Aceh Selatan,Kluet Selatan
Kabupaten Aceh Selatan,Labuhanhaji
Kabupaten Aceh Selatan,Meukek
Kabupaten Aceh Selatan,Samadua
Kabupaten Aceh Selatan,Sawang
Kabupaten Aceh Selatan,Tapaktuan
Kabupaten Aceh Selatan,Trumon
Kabupaten Aceh Selatan,Pasie Raja
Kabupaten Aceh Selatan,Labuhanhaji Timur
Kabupaten Aceh Selatan,Labuhanhaji Barat
Kabupaten Aceh Selatan,Kluet Tengah
Kabupaten Aceh Selatan,Kluet Timur
Kabupaten Aceh Selatan,Bakongan Timur
Kabupaten Aceh Selatan,Trumon Timur
Kabupaten Aceh Selatan,Kota Bahagia
Kabupaten Aceh Selatan,Trumon Tengah
Kabupaten Aceh Tenggara,Lawe Alas
Kabupaten Aceh Tenggara,Lawe Sigala-Gala
Kabupaten Aceh Tenggara,Bambel
Kabupaten Aceh Tenggara,Babussalam
Kabupaten Aceh Tenggara,Badar
Kabupaten Aceh Tenggara,Babul Makmur
Kabupaten Aceh Tenggara,Darul Hasanah
Kabupaten Aceh Tenggara,Lawe Bulan
Kabupaten Aceh Tenggara,Bukit Tusam
Kabupaten Aceh Tenggara,Semadam
Kabupaten Aceh Tenggara,Babul Rahmah
Kabupaten Aceh Tenggara,Ketambe
Kabupaten Aceh Tenggara,Deleng Pokhkisen
Kabupaten Aceh Tenggara,Lawe Sumur
Kabupaten Aceh Tenggara,Tanoh Alas
Kabupaten Aceh Tenggara,Leuser
Kabupaten Aceh Timur,Darul Aman
Kabupaten Aceh Timur,Julok
Kabupaten Aceh Timur,Idi Rayeuk
Kabupaten Aceh Timur,Birem Bayeun
Kabupaten Aceh Timur,Serbajadi
Kabupaten Aceh Timur,Nurussalam
Kabupaten Aceh Timur,Peureulak
Kabupaten Aceh Timur,Rantau Selamat
Kabupaten Aceh Timur,Simpang Ulim
Kabupaten Aceh Timur,Ranto Peureulak
Kabupaten Aceh Timur,Pante Bidari
Kabupaten Aceh Timur,Madat
Kabupaten Aceh Timur,Indra Makmu
Kabupaten Aceh Timur,Idi Tunong
Kabupaten Aceh Timur,Banda Alam
Kabupaten Aceh Timur,Peudawa
Kabupaten Aceh Timur,Peureulak Timur
Kabupaten Aceh Timur,Peureulak Barat
Kabupaten Aceh Timur,Sungai Raya
Kabupaten Aceh Timur,Simpang Jernih
Kabupaten Aceh Timur,Darul Ihsan
Kabupaten Aceh Timur,Darul Falah
Kabupaten Aceh Timur,Idi Timur
Kabupaten Aceh Timur,Peunaron
Kabupaten Aceh Tengah,Linge
Kabupaten Aceh Tengah,Silih Nara
Kabupaten Aceh Tengah,Bebesen
Kabupaten Aceh Tengah,Pegasing
Kabupaten Aceh Tengah,Bintang
Kabupaten Aceh Tengah,Ketol
Kabupaten Aceh Tengah,Kebayakan
Kabupaten Aceh Tengah,Kute Panang
Kabupaten Aceh Tengah,Celala
Kabupaten Aceh Tengah,Laut Tawar
Kabupaten Aceh Tengah,Atu Lintang
Kabupaten Aceh Tengah,Jagong Jeget
Kabupaten Aceh Tengah,Bies
Kabupaten Aceh Tengah,Rusip Antara
Kabupaten Aceh Barat,Johan Pahlawan
Kabupaten Aceh Barat,Kaway XVI
Kabupaten Aceh Barat,Sungai Mas
Kabupaten Aceh Barat,Woyla
Kabupaten Aceh Barat,Samatiga
Kabupaten Aceh Barat,Bubon
Kabupaten Aceh Barat,Arongan Lambalek
Kabupaten Aceh Barat,Pante Ceureumen
Kabupaten Aceh Barat,Meureubo
Kabupaten Aceh Barat,Woyla Barat
Kabupaten Aceh Barat,Woyla Timur
Kabupaten Aceh Barat,Panton Reu
Kabupaten Aceh Besar,Lhoong
Kabupaten Aceh Besar,Lhoknga
Kabupaten Aceh Besar,Indrapuri
Kabupaten Aceh Besar,Seulimeum
Kabupaten Aceh Besar,Montasik
Kabupaten Aceh Besar,Sukamakmur
Kabupaten Aceh Besar,Darul Imarah
Kabupaten Aceh Besar,Peukan Bada
Kabupaten Aceh Besar,Mesjid Raya
Kabupaten Aceh Besar,Ingin Jaya
Kabupaten Aceh Besar,Kuta Baro
Kabupaten Aceh Besar,Darussalam
Kabupaten Aceh Besar,Pulo Aceh
Kabupaten Aceh Besar,Lembah Seulawah
Kabupaten Aceh Besar,Kota Jantho
Kabupaten Aceh Besar,Kuta Cot Glie
Kabupaten Aceh Besar,Kuta Malaka
Kabupaten Aceh Besar,Simpang Tiga
Kabupaten Aceh Besar,Darul Kamal
Kabupaten Aceh Besar,Baitussalam
Kabupaten Aceh Besar,Krueng Barona Jaya
Kabupaten Aceh Besar,Leupung
Kabupaten Aceh Besar,Blang Bintang
Kabupaten Pidie,Batee
Kabupaten Pidie,Delima
Kabupaten Pidie,Geumpang
Kabupaten Pidie,Glumpang Tiga
Kabupaten Pidie,Indrajaya
Kabupaten Pidie,Kembang Tanjong
Kabupaten Pidie,Kota Sigli
Kabupaten Pidie,Mila
Kabupaten Pidie,Muara Tiga
Kabupaten Pidie,Mutiara
Kabupaten Pidie,Padang Tiji
Kabupaten Pidie,Peukan Baro
Kabupaten Pidie,Pidie
Kabupaten Pidie,Sakti
Kabupaten Pidie,Simpang Tiga
Kabupaten Pidie,Tangse
Kabupaten Pidie,Tiro/Truseb
Kabupaten Pidie,Keumala
Kabupaten Pidie,Mutiara Timur
Kabupaten Pidie,Grong-grong
Kabupaten Pidie,Mane
Kabupaten Pidie,Glumpang Baro
Kabupaten Pidie,Titeue
Kabupaten Aceh Utara,Baktiya
Kabupaten Aceh Utara,Dewantara
Kabupaten Aceh Utara,Kuta Makmur
Kabupaten Aceh Utara,Lhoksukon
Kabupaten Aceh Utara,Matangkuli
Kabupaten Aceh Utara,Muara Batu
Kabupaten Aceh Utara,Meurah Mulia
Kabupaten Aceh Utara,Samudera
Kabupaten Aceh Utara,Seunuddon
Kabupaten Aceh Utara,Syamtalira Aron
Kabupaten Aceh Utara,Syamtalira Bayu
Kabupaten Aceh Utara,Tanah Luas
Kabupaten Aceh Utara,Tanah Pasir
Kabupaten Aceh Utara,Tanah Jambo Aye
Kabupaten Aceh Utara,Sawang
Kabupaten Aceh Utara,Nisam
Kabupaten Aceh Utara,Cot Girek
Kabupaten Aceh Utara,Langkahan
Kabupaten Aceh Utara,Baktiya Barat
Kabupaten Aceh Utara,Paya Bakong
Kabupaten Aceh Utara,Nibong
Kabupaten Aceh Utara,Simpang Keuramat
Kabupaten Aceh Utara,Lapang
Kabupaten Aceh Utara,Pirak Timu
Kabupaten Aceh Utara,Geureudong Pase
Kabupaten Aceh Utara,Banda Baro
Kabupaten Aceh Utara,Nisam Antara
Kabupaten Simeulue,Simeulue Tengah
Kabupaten Simeulue,Salang
Kabupaten Simeulue,Teupah Barat
Kabupaten Simeulue,Simeulue Timur
Kabupaten Simeulue,Teluk Dalam
Kabupaten Simeulue,Simeulue Barat
Kabupaten Simeulue,Teupah Selatan
Kabupaten Simeulue,Alafan
Kabupaten Simeulue,Teupah Tengah
Kabupaten Simeulue,Simeulue Cut
Kabupaten Aceh Singkil,Pulau Banyak
Kabupaten Aceh Singkil,Simpang Kanan
Kabupaten Aceh Singkil,Singkil
Kabupaten Aceh Singkil,Gunung Meriah
Kabupaten Aceh Singkil,Kota Baharu
Kabupaten Aceh Singkil,Singkil Utara
Kabupaten Aceh Singkil,Danau Paris
Kabupaten Aceh Singkil,Suro Makmur
Kabupaten Aceh Singkil,Singkohor
Kabupaten Aceh Singkil,Kuala Baru
Kabupaten Aceh Singkil,Pulau Banyak Barat
Kabupaten Bireuen,Samalanga
Kabupaten Bireuen,Jeunieb
Kabupaten Bireuen,Peudada
Kabupaten Bireuen,Jeumpa
Kabupaten Bireuen,Peusangan
Kabupaten Bireuen,Makmur
Kabupaten Bireuen,Gandapura
Kabupaten Bireuen,Pandrah
Kabupaten Bireuen,Juli
