subDistrict,name,postal_code
Bakongan,Keude Bakongan,23773
Bakongan,Ujong Mangki,23773
Bakongan,Ujong Padang,23773
Bakongan,Gampong Drien,23773
Bakongan,Darul Ikhsan,23773
Bakongan,Padang Beurahan,23773
Bakongan,Gampong Baro,23773
Kluet Utara,Fajar Harapan,23771
Kluet Utara,Krueng Batee,23771
Kluet Utara,Pasi Kuala Asahan,23771
Kluet Utara,Gunong Pulo,23771
Kluet Utara,Pulo Ie I,23771
Kluet Utara,Jambo Manyang,23771
Kluet Utara,Simpang Empat,23771
Kluet Utara,Limau Purut,23771
Kluet Utara,Pulo Kambing,23771
Kluet Utara,Kampung Paya,23771
Kluet Utara,Krueng Batu,23771
Kluet Utara,Krueng Kluet,23771
Kluet Utara,Alur Mas,23771
Kluet Utara,Kampung Tinggi,23771
Kluet Utara,Ruak,23771
Kluet Utara,Simpang Lhee,23771
Kluet Utara,Suaq Geuringgeng,23771
Kluet Utara,Kedai Padang,23771
Kluet Utara,Kotafajar,23771
Kluet Utara,Gunung Pudung,23771
Kluet Selatan,Suaq Bakung,23772
Kluet Selatan,Rantau Binuang,23772
Kluet Selatan,Barat Daya,23772
Kluet Selatan,Sialang,23772
Kluet Selatan,Kapeh,23772
Kluet Selatan,Pulo Ie,23772
Kluet Selatan,Kedai Runding,23772
Kluet Selatan,Kedai Kandang,23772
Kluet Selatan,Gampong Luar,23772
Kluet Selatan,Ujung,23772
Kluet Selatan,Jua,23772
Kluet Selatan,Pasi Meurapat,23772
Kluet Selatan,Ujung Pasir,23772
Kluet Selatan,Geulumbuk,23772
Kluet Selatan,Pasie Lembang,23772
Kluet Selatan,Ujung Padang,23772
Kluet Selatan,Indra Damai,23772
Labuhanhaji,Bakau Hulu,23761
Labuhanhaji,Padang Bakau,23761
Labuhanhaji,Manggis Harapan,23761
Labuhanhaji,Pasar Lama,23761
Labuhanhaji,Apha,23761
Labuhanhaji,Ujung Batu,23761
Labuhanhaji,Pawoh,23761
Labuhanhaji,Dalam,23761
Labuhanhaji,Kota Palak,23761
Labuhanhaji,Cacang,23761
Labuhanhaji,Tengah Pisang,23761
Labuhanhaji,Pisang,23761
Labuhanhaji,Hulu Pisang,23761
Labuhanhaji,Tengah Baru,23761
Labuhanhaji,Lembah Baru,23761
Labuhanhaji,Padang Baru,23761
Meukek,Kuta Buloh II,23754
Meukek,Kuta Buloh I,23754
Meukek,Ie Dingen,23754
Meukek,Drien Jalo,23754
Meukek,Jambo Papeun,23754
Meukek,Buket Meuh,23754
Meukek,Blang Kuala,23754
Meukek,Rot Teungoh,23754
Meukek,Alue Baro,23754
Meukek,Ladang Tuha,23754
Meukek,Lhok Mamplam,23754
Meukek,Arun Tunggai,23754
Meukek,Blang Teungoh,23754
Meukek,Blang Bladeh,23754
Meukek,Ie Buboh,23754
Meukek,Keude Meukek,23754
Meukek,Kuta Baro,23754
Meukek,Tanjung Harapan,23754
Meukek,Labuhan Tarok,23754
Meukek,Lhok Aman,23754
Meukek,Alue Meutuah,23754
Meukek,Ladang Baro,23754
Meukek,Labuhan Tarok II,23754
Samadua,Dalam,23752
Samadua,Subarang,23752
Samadua,Kuta Baru,23752
Samadua,Gunung Ketek,23752
Samadua,Ladang Panton Luas,23752
Samadua,Madat,23752
Samadua,Alur Seumerah,23752
Samadua,Tengah,23752
Samadua,Gunung Cut,23752
Samadua,Alur Pinang,23752
Samadua,Kuta Blang,23752
Samadua,Batee Tunggai,23752
Samadua,Ujung Tanah,23752
Samadua,Ujung Kampung,23752
Samadua,Jilatang,23752
Samadua,Luar,23752
Samadua,Lubuk Layu,23752
Samadua,Suaq Hulu,23752
Samadua,Tampang,23752
Samadua,Payonan Gadang,23752
Samadua,Gadang,23752
Samadua,Baru,23752
Samadua,Ladang Kasik Putih,23752
Samadua,Air Sialang Hilir,23752
Samadua,Air Sialang Hulu,23752
Samadua,Air Sialang Tengah,23752
Samadua,Balai,23752
Samadua,Arafah,23752
Sawang,Sikulat,23753
Sawang,Sawang I,23753
Sawang,Meuligo,23753
Sawang,Lhok Pawoh,23753
Sawang,Sawang II,23753
Sawang,Ujung Karang,23753
Sawang,Trieng Meuduro Baroh,23753
Sawang,Trieng Meuduro Tunong,23753
Sawang,Panton Luas,23753
Sawang,Simpang Tiga,23753
Sawang,Kuta Baro,23753
Sawang,Blang Geulinggang,23753
Sawang,Mutiara,23753
Sawang,Ujung Padang,23753
Tapaktuan,Lhok Keutapang,23718
Tapaktuan,Hilir,23717
Tapaktuan,Padang,23713
Tapaktuan,Hulu,23714
Tapaktuan,Jambo Apha,23716
Tapaktuan,Tepi Air,23712
Tapaktuan,Pasar,23711
Tapaktuan,Lhok Bengkuang,23715
Tapaktuan,Panton Luas,23711
Tapaktuan,Gunung Kerambil,23711
Tapaktuan,Air Berudang,23711
Tapaktuan,Batu Itam,23711
Tapaktuan,Panjupian,23711
Tapaktuan,Lhok Rukam,23711
Tapaktuan,Air Pinang,23711
Tapaktuan,Lhok Bengkuang Timur,23712
Trumon,Keude Trumon,23774
Trumon,Ujong Tanoh,23774
Trumon,Sigleng,23774
Trumon,Ie Meudama,23774
Trumon,Teupin Tinggi,23774
Trumon,Kuta Baro,23774
Trumon,Panton Bilie,23774
Trumon,Kuta Padang,23774
Trumon,Raket,23774
Trumon,Gampong Teungoh,23774
Trumon,Seuneubok Jaya,23774
Trumon,Padang Harapan,23774
Pasie Raja,Ladang Teungoh,23755
Pasie Raja,Pucok Krueng,23755
Pasie Raja,Silolo,23755
Pasie Raja,Kampung Baru,23755
Pasie Raja,Panton Bili,23755
Pasie Raja,Paya Ateuk,23755
Pasie Raja,Ladang Tuha,23755
Pasie Raja,Mata Ie,23755
Pasie Raja,Ujong Batee,23755
Pasie Raja,Lhok Sialang Cut,23755
Pasie Raja,Seuneubok,23755
Pasie Raja,Ie Mirah,23755
Pasie Raja,Pasie Rasian,23755
Pasie Raja,Ujung Padang Rasian,23755
Pasie Raja,Krueng Kalee,23755
Pasie Raja,Lhok Sialang Rayeuk,23755
Pasie Raja,Gampong Baro,23755
Pasie Raja,Teupin Gajah,23755
Pasie Raja,Ujung Padang Asahan,23755
Pasie Raja,Pulo Ie II,23755
Pasie Raja,Pante Raja,23755
Labuhanhaji Timur,Tengah Peulumat,23758
Labuhanhaji Timur,Paya Peulumat,23758
Labuhanhaji Timur,Padang Peulumat,23758
Labuhanhaji Timur,Aur Peulumat,23758
Labuhanhaji Timur,Limau Saring,23758
Labuhanhaji Timur,Beutong,23758
Labuhanhaji Timur,Peuneulop,23758
Labuhanhaji Timur,Gunung Rotan,23758
Labuhanhaji Timur,Keumumu Hilir,23758
