subDistrict,name,postal_code
Talang Padang,Talang Durian,31596
Talang Padang,Talang Padang,31596
Talang Padang,Kembahang Baru,31596
Talang Padang,Canggu,31596
Talang Padang,Remantai,31596
Talang Padang,Ulak Dabuk,31596
Talang Padang,Lampar Baru,31596
Pasemah Air Keruh,Talang Padang,31595
Pasemah Air Keruh,Tanjung Beringin,31595
Pasemah Air Keruh,Penantian,31595
Pasemah Air Keruh,Pagar Jati,31595
Pasemah Air Keruh,Kebon Jati,31595
Pasemah Air Keruh,Bandar Agung,31595
Pasemah Air Keruh,Lawang Agung,31595
Pasemah Air Keruh,Nanjungan,31595
Pasemah Air Keruh,Talang Randai,31595
Pasemah Air Keruh,Air Mayam,31595
Pasemah Air Keruh,Muara Rungga,31595
Pasemah Air Keruh,Padang Gelai,31595
Pasemah Air Keruh,Padang Bindu,31595
Pasemah Air Keruh,Muara Sindang,31595
Pasemah Air Keruh,Muara Aman,31595
Sikap Dalam,Puntang,31594
Sikap Dalam,Bandar Aji,31594
Sikap Dalam,Paduraksa,31594
Sikap Dalam,Karang Gede,31594
Sikap Dalam,Karang Dapo Baru,31594
Sikap Dalam,Karang Dapo Lama,31594
Sikap Dalam,Tangga Rasa,31594
Sikap Dalam,Tapa Baru,31594
Sikap Dalam,Tapa Lama,31594
Sikap Dalam,Martapura,31594
Sikap Dalam,Karang Anyar,31594
Saling,Lubuk Kelumpang,31457
Saling,Tanjungning Simpang,31457
Saling,Tanjungning Tengah,31457
Saling,Tanjungning Lama,31457
Saling,Tanjungning Jaya,31457
Saling,Sawah,31457
Saling,Kebon,31457
Saling,Suka Kaya,31457
Saling,Taba,31457
Saling,Muara Saling,31457
Pendopo Barat,Muaralintang Lama,31599
Pendopo Barat,Muaralintang Baru,31599
Pendopo Barat,Tebat Payang,31599
Pendopo Barat,Karang Caya,31599
Pendopo Barat,Tanjungraya,31599
Pendopo Barat,Padang Bindu,31599
Pendopo Barat,Air Kandis,31599
Pendopo Barat,Lingge,31599
Pendopo Barat,Rantau Dodor,31599
Pendopo Barat,Kungkilan,31599
Talang Ubi,Talang Ubi Timur,31213
Talang Ubi,Talang Ubi Barat,31211
Talang Ubi,Talang Ubi Utara,31214
Talang Ubi,Talang Ubi Selatan,31212
Talang Ubi,Pasar Bhayangkara,31214
Talang Ubi,Handayani Mulya,31214
Talang Ubi,Talang Bulang,31214
Talang Ubi,Benuang,31214
Talang Ubi,Talang Akar,31214
Talang Ubi,Sungai Ibul,31214
Talang Ubi,Karta Dewa,31214
Talang Ubi,Panta Dewa,31214
Talang Ubi,Sungai Baung,31214
Talang Ubi,Semangus,31214
Talang Ubi,Sinar Dewa,31214
Talang Ubi,Benakat Minyak,31214
Talang Ubi,Suka Maju,31214
Talang Ubi,Suka Damai,31214
Talang Ubi,Beruge Darat,31214
Talang Ubi,Simpang Tais,31214
Penukal Utara,Sukarami,31317
Penukal Utara,Tanjung Baru,31317
Penukal Utara,Prabu Menang,31317
Penukal Utara,Tanding Marga,31317
Penukal Utara,Karang Tanding,31317
Penukal Utara,Lubuk Tampui,31317
Penukal Utara,Tempirai,31317
Penukal Utara,Tempirai Selatan,31317
Penukal Utara,Kota Baru,31317
Penukal Utara,Tempirai Utara,31317
Penukal Utara,Tempirai Timur,31317
Penukal Utara,Tambak,31317
Penukal Utara,Muara Ikan,31317
Penukal,Purun,31316
Penukal,Gunung Menang,31316
Penukal,Mangkunegara,31316
Penukal,Raja Jaya,31316
Penukal,Air Itam,31316
Penukal,Gunung Raja,31316
Penukal,Air Itam Timur,31316
Penukal,Sungai Langan,31316
Penukal,Spantan Jaya,31316
Penukal,Babat,31316
Penukal,Suka Raja,31316
Penukal,Purun Timur,31316
Penukal,Mangkunegara Timur,31316
Abab,Betung,31315
Abab,Betung Barat,31315
Abab,Karang Agung,31315
Abab,Tanjung Kurung,31315
Abab,Pengabuan,31315
Abab,Prambatan,31315
Abab,Pengabuan Timur,31315
Abab,Betung Selatan,31315
Tanah Abang,Bumi Ayu,31314
Tanah Abang,Muara Sungai,31314
Tanah Abang,Tanah Abang Utara,31314
Tanah Abang,Sedupi,31314
Tanah Abang,Sukaraja,31314
Tanah Abang,Curup,31314
Tanah Abang,Raja,31314
Tanah Abang,Pandan,31314
Tanah Abang,Modong,31314
Tanah Abang,Tanah Abang Selatan,31314
Tanah Abang,Harapan Jaya,31314
Tanah Abang,Tanjung Dalam,31314
Tanah Abang,Lunas Jaya,31314
Tanah Abang,Raja Barat,31314
Tanah Abang,Tanah Abang Jaya,31314
Tanah Abang,Muara Dua,31314
Tanah Abang,Sukamanis,31314
Rupit,Muara Rupit,31653
Rupit,Tanjung Beringin,31653
Rupit,Noman,31653
Rupit,Batu Gajah,31653
Rupit,Maur Lama,31653
Rupit,Maur Baru,31653
Rupit,Bingin Rupit,31653
Rupit,Lubuk Rumbai,31653
Rupit,Pantai,31653
Rupit,Lawang Agung,31653
Rupit,Karang Waru,31653
Rupit,Karang Anyar,31653
Rupit,Sungai Jernih,31653
Rupit,Beringin Jaya,31653
Rupit,Lubuk Rumbai Baru,31653
Rupit,Noman Baru,31653
Rupit,Batu Gajah Baru,31653
Rawas Ulu,Pasar Surulangun,31656
Rawas Ulu,Pangkalan,31656
Rawas Ulu,Kerta Dewa,31656
Rawas Ulu,Teladas,31656
Rawas Ulu,Pulau Lebar,31656
Rawas Ulu,Sungai Baung,31656
Rawas Ulu,Sungai Jauh,31656
Rawas Ulu,Sungai Kijang,31656
Rawas Ulu,Surulangun,31656
Rawas Ulu,Lesung Batu,31656
Rawas Ulu,Lubuk Kemang,31656
Rawas Ulu,Remban,31656
Rawas Ulu,Lesung Batu Muda,31656
Rawas Ulu,Simpang Nibung Rawas,31656
Rawas Ulu,Lubuk Mas,31656
Rawas Ulu,Sungai Lanang,31656
Rawas Ulu,Sukomoro,31656
Nibung,Karya Makmur,31667
Nibung,Tebing Tinggi,31667
Nibung,Jadi Mulya,31667
Nibung,Mulya Jaya,31667
Nibung,Sumber Makmur,31667
Nibung,Sri Jaya Makmur,31667
Nibung,Kelumpang Jaya,31667
Nibung,Bumi Makmur,31667
Nibung,Sumber Sari,31667
Nibung,Krani Jaya,31667
Nibung,Jadi Mulya I,31667
Rawas Ilir,Bingin Teluk,31655
Rawas Ilir,Pauh,31655
Rawas Ilir,Batu Kucing,31655
Rawas Ilir,Belani,31655
Rawas Ilir,Tanjung Raja,31655
Rawas Ilir,Mandi Angin,31655
Rawas Ilir,Air Bening,31655
Rawas Ilir,Beringin Sakti,31655
Rawas Ilir,Beringin Makmur I,31655
Rawas Ilir,Beringin Makmur II,31655
Rawas Ilir,Pauh I,31655
Rawas Ilir,Ketapat Bening,31655
Rawas Ilir,Mekarsari,31655
Karang Dapo,Karang Dapo,31658
Karang Dapo,Aringin,31658
Karang Dapo,Biaro Baru,31658
Karang Dapo,Biaro Lama,31658
Karang Dapo,Rantau Kadam,31658
Karang Dapo,Kerta Sari,31658
Karang Dapo,Karang Dapo I,31658
Karang Dapo,Setia Marga,31658
Karang Dapo,Bina Karya,31658
Karang Jaya,Karang Jaya,31654
Karang Jaya,Bukit Ulu,31654
