subDistrict,name,postal_code
Pulaulaut Sigam,Batuah,72112
Pulaulaut Sigam,Baharu Utara,72112
Pulaulaut Sigam,Tirawan,72112
Pulaulaut Sigam,Gedambaan,72114
Pulaulaut Sigam,Sarang Tiung,72114
Pulaulaut Sigam,Sigam,72112
Aluh Aluh,Bakambat,70655
Aluh Aluh,Tanipah,70655
Aluh Aluh,Pemurus,70655
Aluh Aluh,Simpang Warga,70655
Aluh Aluh,Bunipah,70655
Aluh Aluh,Aluh Aluh Besar,70655
Aluh Aluh,Aluh Aluh Kecil,70655
Aluh Aluh,Podok,70655
Aluh Aluh,Handil Bujur,70655
Aluh Aluh,Kuin Besar,70655
Aluh Aluh,Terapu,70655
Aluh Aluh,Labat Muara,70655
Aluh Aluh,Pulantan,70655
Aluh Aluh,Aluh Aluh Kecil Muara,70655
Aluh Aluh,Simpang Warga Dalam,70655
Aluh Aluh,Kuin Kecil,70655
Aluh Aluh,Handil Baru,70655
Aluh Aluh,Balimau,70655
Aluh Aluh,Sungai Musang,70655
Kertak Hanyar,Kertak Hanyar I,70654
Kertak Hanyar,Manarap Lama,70654
Kertak Hanyar,Mandarsari,70654
Kertak Hanyar,Tatah Pemangkih Laut,70654
Kertak Hanyar,Simpang Empat,70654
Kertak Hanyar,Sungai Lakum,70654
Kertak Hanyar,Manarap Baru,70654
Kertak Hanyar,Kertak Hanyar II,70654
Kertak Hanyar,Pasar Kamis,70654
Kertak Hanyar,Manarap Tengah,70654
Kertak Hanyar,Belayung Baru,70654
Kertak Hanyar,Banua Hanyar,70654
Kertak Hanyar,Mekar Raya,70654
Gambut,Gambut,70652
Gambut,Gambut Barat,70652
Gambut,Sungai Kupang,70652
Gambut,Guntung Papuyu,70652
Gambut,Makmur,70652
Gambut,Tambak Sirang Darat,70652
Gambut,Tambak Sirang Laut,70652
Gambut,Malintang,70652
Gambut,Kayu Bawang,70652
Gambut,Banyu Hirang,70652
Gambut,Guntung Ujung,70652
Gambut,Tambak Sirang Baru,70652
Gambut,Malintang Baru,70652
Gambut,Keladan Baru,70652
Sungai Tabuk,Sungai Lulut,70653
Sungai Tabuk,Sungai Bakung,70653
Sungai Tabuk,Sungai Tandipah,70653
Sungai Tabuk,Lok Baintan,70653
Sungai Tabuk,Gudang Hirang,70653
Sungai Tabuk,Sungai Pinang Lama,70653
Sungai Tabuk,Pembantanan,70653
Sungai Tabuk,Pemakuan,70653
Sungai Tabuk,Sungai Tabuk Kota,70653
Sungai Tabuk,Sungai Tabuk Keramat,70653
Sungai Tabuk,Lok Buntar,70653
Sungai Tabuk,Gudang Tengah,70653
Sungai Tabuk,Pejambuan,70653
Sungai Tabuk,Keliling Benteng Ilir,70653
Sungai Tabuk,Sungai Pinang Baru,70653
Sungai Tabuk,Paku Alam,70653
Sungai Tabuk,Lok Baintan Dalam,70653
Sungai Tabuk,Pematang Panjang,70653
Sungai Tabuk,Sungai Bangkal,70653
Sungai Tabuk,Tajau Landung,70653
Sungai Tabuk,Abumbun Jaya,70653
Martapura,Keraton,70611
Martapura,Jawa,70614
Martapura,Pasayangan,70619
Martapura,Murung Keraton,70616
Martapura,Sungai Paring,71213
Martapura,Tanjung Rema Darat,70613
Martapura,Sekumpul,70619
Martapura,Sungai Sipai,70612
Martapura,Pasayangan Selatan,70619
Martapura,Tanjung Rema,70613
Martapura,Bincau,70619
Martapura,Murung Kenanga,70617
Martapura,Tunggul Irang,70615
Martapura,Tambak Baru,70619
Martapura,Cindai Alus,70612
Martapura,Tungkaran,70619
Martapura,Tambak Baru Ulu,70619
Martapura,Bincau Muara,70619
Martapura,Tunggul Irang Ilir,70615
Martapura,Tunggul Irang Ulu,70615
Martapura,Labuan Tabu,70619
Martapura,Indrasari,70619
Martapura,Jawa Laut,70615
Martapura,Pasayangan Utara,70619
Martapura,Pasayangan Barat,70619
Martapura,Tambak Baru Ilir,70619
Karang Intan,Kiram,70661
